sentences	label
"Hey everyone, I'm 22 and new here. My Grammy is about stage 5-6, and my family (me, my husband, and our two young kids) have just moved back to my hometown so I can be the caretaker for my grandparents, mostly my Grammy who is 82. She lives at home with my grandfather, they've been married 60+ years and up until this point he's been able to do most everything for her himself."	2
"I come over everyday now, about 6-7 hours a day, to help with meals, housework, activities etc. But I'm at a bit of a loss!"	1
"My Grammy was an avid quilter, loved to crochet, scrapbook, make cards..."	0
But I can't get her to do anything! She isn't interested at all in any of those things or even anything in that area. She just wants to sit in her chair.	0
"Occasionally she'll read her Guideposts, or watch the Price is Right, but I'm really struggling getting her to do things. I don't want to push her too hard as she can get very testy, but I know it would be good for her to engage in an activity of some sort. Any thoughts?"	0
"I've been living with my grandfather for 4 months as his caregiver. When I moved in he would take 1 or 2 showers per week, but now I'm lucky if I get him to take one once every 2 weeks."	2
"I'm sure this is a common problem in this community (I'm very new at this lol), and was wondering if anyone had success with certain strategies."	0
Mine is that I don't let him know how bad he smells but I will make comments like'man what a beautiful night for a nice hot shower huh?'	0
"And he always likes the idea of a shower, but getting him in there is difficult. It's getting embarrassing to take him out in public"	0
Hi everyone. We lost my grandma to alzheimer’s last December and now my grandpa is progressing into mid/late stage alzheimer’s as well.	0
He is extremely bored all the time and I want to find things for him to do. Right now he pretty much just watches tv. 	0
"The problem is we have gotten him word searches (his favorite pre-alz), easy puzzles, simple games, etc but he refuses to use them. "	0
I feel helpless because every time we talk he brings up the fact that he is so bored and can’t do anything.	1
Does anyone have any ideas how I can help? I live on the other side of the country so just visiting more isn’t currently an option.	0
"(Background info: he is about to be 87,  formerly a mechanic and handy man, mid-late stage alz, and lives in a small nursing home with round the clock care.)"	2
I try to talk with her. I wish there was something I could give her to play with.	0
I'm not sure if I am describing this best but any idears would be great.	0
"Hi, I’m not sure if this is the right place to ask. I’ve been taking care of my grandma for the last 4 months. Her Alzheimers gets a little bit worse everyday, but so far we’ve managed."	0
"Today I noticed she doesn’t remember who I am anymore, that hurts like nothing else I felt before, but my main concern right now is that I can’t make her to take her pills."	0
I think maybe she doesn’t trust me since I am now a stranger. (?)Any advice would be great.Happy new year everyone.	0
Just learn I need to use parental controls on the tv.	2
"My mom has Alzheimers, my stepfather is able to care for in their home and I try to support them both."	2
"My stepfather called me upset that their cable bill was $60 more than normal. When he called, he was told they upgrade plans. He argued with them and they took off the charges."	2
"I followed up to see why they were upgraded to the next package. The cable clerk explained that if you click on a channel not in your plan, the system prop asks if you'd like to upgrade by clicking again."	2
"This is what happened and between my mom and my stepfather, who struggles with the tv remote, I'm surprised it hasn't happened before."	2
"The clerk explained I could fix the upgrade prop with parental control options. Please check your tv, this is such an easy mistake for those with Alzheimers (and even without)!"	0
"Hi everyone, I’m looking for some advice. My grandma who has dementia/alzheimer’s ( not exactly sure)  lives with my grandpa alone together."	0
"He is her main caregiver, although she doesn’t recognize that he is her husband ( she thinks they WERE married at some point but not now ) and that she isn’t in her home."	0
She will try and walk out the door to walk and find her house.	0
"My mother and I don’t live with them but we are close, we use a ring doorbell to see when she tries to leave and go over to help intervene although grandpa is usually able to handle it."	0
My fear is that one day nobody will notice that shes left and we won’t be able to find her.	0
"The thing is that she always takes her purse with her, does anyone know of a GPS tracker that doesn’t need to be charged too often and works well, maybe that is compatible with an app. All suggestions are welcome. Thanks in advance!"	0
"My mom forgets about gift cards so they never get used, and the place she lives feeds her more than she could ever eat so food is no good. "	2
We just spent 2 years liquidating and estate selling most of her stuff so I don't want to get her clutter.	0
I have spent months trying to think of something and I'm having trouble coming up with anything. So what did you get your loved one with AD?	0
"Hi all! My grandma is starting to lose her memory (and I believe was told that she is developing Alzheimers, but I'm not sure). "	0
"Anyway, what do I do? Should I correct her? She never says she doesn't remember things, she just says things that are untrue with regards to recent, current events, and often forgets the year. "	2
For instance she thought she was 75 and not 86. She thought my brother was turning 17. He was 21. She says she didn't vote when she did. It was the week after the election. She said she hasn't been to the special exhibition at a museum. My mother took her there the week before.	2
"I always just let the moment pass and agree with her, i.e. 'Yes, it's a very interesting exhibition, you should go, I know you like that sort of stuff."	0
My mum on the other hand is like:' Remember we went last week? We went together and you said xyz.'Which approach is correct?	0
"She means a lot to me, and it pains me to see this happening to her. This is a terrible disease. The only plus side I see is that it's happening so late in life and that she had 86 good years. :)"	2
"Hey everyone. I’m here to look for a little support for how to best connect with my grandma (69yo) before she passes. She was diagnosed with Alzheimer’s a few years ago, but had a recent steep decline."	2
"Over the past few months, she has been in the hospital for erratic behavior and they think that she had several strokes while in the hospital (possibly due to psych meds, but that’s another story)."	0
"She’s now on hospice and can’t talk anymore. Last time I saw her, she only seems to acknowledge others around her sometimes, often staring off into nothing for a while. She can’t feed herself or go to the bathroom by herself."	0
"I live a few states away, but have been trying hard to see her at least once a month. I worry every time I see her will be the last."	1
"So Christmas has always been very important to her. I feel bad not getting her anything, but I don’t know what might be appropriate for her. "	1
"I thought of baking her something because we did that together, but I’ve been told she isn’t eating much. I always did crafts with her, but I can’t think of anything to make. It doesn’t have to be a gift, either, but maybe something I can do with her."	0
My grandfather is currently in the early stages of Alzheimers.	2
"He is still living in a home with my grandmother, but we would like to purchase him something similar to a fitbit just in case."	0
"He currently wears a fitbit daily and charges it nightly. I am looking at an apple watch with a data plan, but didnt know if there were better options."	0
He does not ever carry his phone with him so we need something outside of just phone tracking	0
"I'm just at a complete loss right now. My MIL ate a week's worth of groceries in 2 days. She then proceeded to eat my personal groceries as well, so well over $100 in less than half a week."	0
"I'm not making enough money for all of this, and the next few weeks are now probably going to be rice & beans to stretch it out."	0
"My partner is trying, but it's been like feeding a black hole, she sneaks down in the middle of the night and cleans the place out. I'm just at a complete loss right now. "	0
"Either way, are there any locks that you'd recommend? We've decided to lock all of the cupboards and the fridge, leaving her snack cabinet open with her food for the day."	0
"She is in the late stages of alzheimers, and every night she asks me'Have you ever been here before?'"	0
"And I say of course and explain to her that we are still in the town we have lived in for over half a decade, which just confuses her and then she will ask again in a minute or two."	0
My question is what can I do to make her realize that she is home?	0
My mom has early stage Alzheimer’s and has already been the victim of one scammer.	2
"I need something that will automatically send any unknown, untrusted numbers to voicemail."	0
I’ve found the 'Sentry' product online but it seems too easy to get around by pressing 0 and then calling back.	2
There’s no reason for my mom to pick up a call from an unknown caller at this point. Any ideas?	0
I've said he doesn't (which is the truth). But then she insists he does. I ask how she knows and she just says that she knows he is with her.	2
"She has said it to me and to my stepdad in person. I know I am not supposed to argue or disagree, but I can't fathom just saying oh well, when she says stuff like that."	2
"Hi,My grandfather has Alzheimers, and lately, he's been overfeeding his dog to an alarming degree."	0
"The dog, Princess, is quite old and already very overweight. One single bag of treats is supposed to last at least a month and a half."	2
"Last week, he fed her two entire bags.My grandmother has tried telling him that he can't do that, but he's just not understanding (which, of course, is not his fault)."	0
"Hiding the treat bags won't do any good, as he'll just drive to the store and buy more on his own."	0
"Princess isn't in the greatest health and we're all worried about the effects that my grandfather overfeeding her will have, but there isn't much we can do to stop him from doing it."	0
Does anybody have any ideas as to how we should go about handling this?Thank you	0
"Hi; my dad has early onset Alz (diagnosed at 56, 5 years ago) and is still in the moderate stages."	2
"Does anyone have suggestions for a simple toy or activity my family could give him for the holidays? He’s still very aware of/embarrassed by his forgetfulness and challenges so I want to find something that isn’t too obviously designed for children, like some of the Alz 'toys' I’ve seen."	0
"We have an Alexa system for him to listen to music and podcasts, but he’s had a lot of nervous energy lately and needs something to do with his hands. Thanks in advance"	0
"He was diagnosed a few years ago and has progressively gotten worse, he would always talk about the old days but mix it up with some current events, now it seems he doesn't remember anything but the past."	0
"I talk with him daily and he repeats himself a lot, sometimes the same thing every 20 seconds for 5 minutes."	0
"When he does this I don't interject, I let him repeat himself. Is this the right thing to do? I feel like it is but I'm not sure."	0
"If you guys don't mind, I'll list some of my questions below (we are in Ohio for reference)."	2
"She didn't recognize me for the first time while visiting. How could I help her from suffering through that scare again? What could I do to help her? The internet hasn't given me many options, if there are any."	0
Three generations of us can’t figure out how to convince my 86 year old great nana (late stage) to take a bath. She needs one in the worse way.	0
She’s lived with us for months and has yet to take one. She’s getting smelly but either can’t smell anything or doesn’t care or doesn’t know that it’s her.	0
She gets SO upset whenever we bring it up. It’s not like we can force her. Please... how can any of us convince her? Any ideas at all?	0
"Late last year my boyfriend's mother was diagnosed with dementia. Early onset Alzheimer's runs in her family. She is still relatively with it, as she recognizes most people and can talk about her day."	2
"Last week she had a stroke. Her memory took a hit. She's having trouble recalling certain words and her delusions are worse. She still recognizes us, but it frustrates her when she doesn't remember details or who else visited her that day."	0
"She's still convinced she'll get better one day.She's retired, but her husband is not, so she spends most days alone with a few people coming to check on her or give her medications."	0
"Boyfriend and I visit every other day to make sure she takes her pills and eats. She ideally needs 24/7 care, but it's not financially possible right now."	0
"She told us that during the day, she has nothing to think about. She spends most of her time watching TV, and she's starting to have trouble remembering how to make it play what she wants."	0
I'm worried if she doesn't have anything to do she won't improve at all or she'll decline faster. I plan to cook with her next time we see her.	0
She lit up when I suggested it and went to find some recipes. Otherwise I'm not sure what we could do. I really want something that encourages her mind to work.	0
"Or any advice at all on how to support my boyfriend and his family through this difficult time, resources, ect. Thanks in advance."	0
"Hello all, My father was asked by his neurologist to not drive any more this past August. He disagrees with this and feels his driving is fine."	0
