Old_ids,Ismemoryloss,New_ids
lb0jpk,Yes,vrxgk6
io70fz,Yes,ebvh7i
vrxgk6,Yes,u3aiaa
lskmfe,No,ijkey3
kc18vq,Yes,lb0jpk
o1j3lh,No,eo539k
8r2kdc,No,b7jhls
odorsi,No,s4ldm7
vte8ql,No,hz2kfb
3prph4,No,mfvfbr
q7vg93,Yes,eo539k
8ihlxu,No,odorsi
p70eyt,Yes,vte8ql
fp3kwe,No,l10qa9
eo539k,Yes,ew9s02
jdlndz,No,fp3kwe
5cgsho,Yes,u86xko
hahcz7,No,a8snzr
u3aiaa,No,ored62
l10qa9,Yes,i8by0l
rhr2e8,No,vnlp5x
9o0rq5,No,sw2a2b
e170gy,No,qrc8gm
2kthc2,No,v278w0
2rgki6,No,d3dn4n
v65ziz,Yes,f3cq23
4zkqfm,No,a8kq1w
hjg1z2,No,i40aaf
27zjyu,No,rohv89
cgbfsd,No,8ihlxu
ij0ez8,Yes,sghf2x
5y25pb,No,ky6nnl
sw2a2b,No,v62sy3
8nbml8,No,811cnm
s3vqo,Yes,ayxkxj
sgkvbt,Yes,4jmjua
h80j9y,Yes,6jclqy
hvjl8g,No,dv3lo7
5q2li7,No,vmvpdm
adtm6y,No,2rgki6
6ohvbz,Yes,8r4wnh
buwe56,Yes,8r2kdc
kdcxcj,Yes,s4bn59
hz2kfb,Yes,40becj
82mpl4,Yes,rgk9zg
of8itl,No,c98t5q
t3zlgm,No,h80j9y
qa9jux,Yes,hvjl8g
ijkey3,No,5q2li7
40becj,Yes,adtm6y
