title_id	sentence	label
3	My name is Ann.	0
3	My team and me are working on a 3-headed electric toothbrush which effectively cleans teeth without any complicated movements needed.	0
3	It cleans teeth without any efforts and complicated proper movements, because the toothbrush has 3 heads, that cover the tooth from all sides at the right angle and with the right pressure.	0
3	Since the brush cleans immediately 3 sides of the tooth, it cleans much faster.	0
3	If you have any info about what should we take into account to make the toothbrush as effective as possible for people with special needs, please, click on the link below to answer some questions.	0
4	But I can't get her to do anything!	0
6	She often talks about going home to check on her parents (gone for 20 years) or kids (I'm her youngest at 34 years old) or whatever.	1
6	Do I gently remind her she is home?	1
6	Do I just listen?	1
6	What's best in your experiences?	1
7	Yesterday she took out several thousand dollars and hid it somewhere, which she won't tell me where because she is starting to not trust anyone.	1
9	When I moved in he would take 1 or 2 showers per week, but now I'm lucky if I get him to take one once every 2 weeks.	1
9	It's getting embarrassing to take him out in public	1
12	Right now he pretty much just watches tv.	1
12	Does anyone have any ideas how I can help?	1
12	(Background info: he is about to be 87, formerly a mechanic and handy man, mid-late stage alz, and lives in a small nursing home with round the clock care.)	1
13	Hi all, what do you guys do to keep an alzheimers person busy/interested/occupied?	1
13	I know my family member does not seems phased my TV or music anymore.	1
13	I try to talk with her.	1
13	I wish there was something I could give her to play with.	1
13	I'm not sure if I am describing this best but any idears would be great.	1
14	I think maybe she doesn’t trust me since I am now a stranger.	0
14	Happy new year everyone.	0
15	My mom has Alzheimers, my stepfather is able to care for in their home and I try to support them both.	1
15	My stepfather called me upset that their cable bill was $60 more than normal.	1
15	I followed up to see why they were upgraded to the next package.	1
15	This is what happened and between my mom and my stepfather, who struggles with the tv remote, I'm surprised it hasn't happened before.	1
16	My mother and I don’t live with them but we are close, we use a ring doorbell to see when she tries to leave and go over to help intervene although grandpa is usually able to handle it.	1
16	My fear is that one day nobody will notice that shes left and we won’t be able to find her.	1
16	The thing is that she always takes her purse with her, does anyone know of a GPS tracker that doesn’t need to be charged too often and works well, maybe that is compatible with an app.	1
16	All suggestions are welcome.	1
18	My mom forgets about gift cards so they never get used, and the place she lives feeds her more than she could ever eat so food is no good.	1
18	So what did you get your loved one with AD?	1
20	She means a lot to me, and it pains me to see this happening to her.	0
21	She can’t feed herself or go to the bathroom by herself.	1
21	So Christmas has always been very important to her.	1
21	I always did crafts with her, but I can’t think of anything to make.	1
21	It doesn’t have to be a gift, either, but maybe something I can do with her.	1
23	My grandfather is currently in the early stages of Alzheimers.	1
23	He is still living in a home with my grandmother, but we would like to purchase him something similar to a fitbit just in case.	1
